time,result,x,y,Year,Month,Day,d_0,d_1,d_3,d_4,o_0,o_1,o_3,o_4,s_0,s_1,s_3,s_4,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2357.0,-1,25.0,9.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,20,49.2258064516,18.7096774194,15.7182817402,2.29551057576,5.11127093601,0.449107590753,0.344659996311,0.981302511715,0.351227060154,1.95085057945,4.1299684243,0.472364526559,0.515,1.16234529949,1.5548976644,0.747538134568,0.897200282568,1.85684759505,2.7,1.11930959952,0.462495265835,22.6290322581,0.913012224631,1.65903401812
2352.0,-1,27.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,22,80.0,80.0,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4
2325.0,1,20.0,9.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,22,75.0,0.0,23.9,2.7,7.0,0.391,1.4,3.8,0.382,1.3,3.3,0.402,0.493,0.9,1.1,0.767,0.4,1.7,2.1,1.8,0.6,0.2,0.8,2.2
2288.0,-1,42.0,17.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2280.0,-1,26.0,9.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,31,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
2262.0,-1,37.0,29.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,1.0,0.0,28,80.0,60.0,25.9,2.8,5.9,0.468,0.8,2.3,0.355,2.0,3.6,0.54,0.537,0.9,1.0,0.85,0.7,3.8,4.6,1.2,1.1,0.8,0.5,1.7
2239.0,1,19.0,12.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,0.0,28,54.0,43.0,31.5,5.8,12.8,0.451,0.3,1.7,0.2,5.4,11.1,0.489,0.464,1.7,2.4,0.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,2.2
2210.0,-1,13.0,24.0,2009,10,27,0.0,4,1.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,22,75.0,0.0,23.9,2.7,7.0,0.391,1.4,3.8,0.382,1.3,3.3,0.402,0.493,0.9,1.1,0.767,0.4,1.7,2.1,1.8,0.6,0.2,0.8,2.2
2198.0,-1,40.0,19.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,31,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
2181.0,-1,26.0,8.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
2175.0,-1,42.0,25.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,30,81.0,0.0,18.3,3.1,6.9,0.445,1.9,4.2,0.444,1.2,2.7,0.445,0.579,0.5,0.7,0.792,0.1,1.8,1.9,1.1,0.8,0.1,0.7,1.4
2109.0,1,30.0,30.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,30,81.0,0.0,18.3,3.1,6.9,0.445,1.9,4.2,0.444,1.2,2.7,0.445,0.579,0.5,0.7,0.792,0.1,1.8,1.9,1.1,0.8,0.1,0.7,1.4
2093.0,-1,39.0,29.0,2009,10,27,0.0,4,1.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,26,81.0,81.0,35.0,6.5,13.9,0.467,2.3,5.2,0.436,4.2,8.7,0.486,0.548,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7
2077.0,1,26.0,8.0,2009,10,27,1.0,3,1.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
2060.0,-1,36.0,25.0,2009,10,27,0.0,3,2.0,0.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,33,65.0,65.0,27.2,5.3,11.1,0.472,0.2,0.6,0.385,5.0,10.5,0.477,0.483,2.1,2.7,0.799,2.4,5.1,7.5,1.0,0.4,1.3,1.4,2.8
1998.0,-1,23.0,15.0,2009,10,27,0.0,4,1.0,0.0,0.0,3,2.0,0.0,0.0,1.0,0.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
1991.0,-1,44.0,11.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,28,80.0,60.0,25.9,2.8,5.9,0.468,0.8,2.3,0.355,2.0,3.6,0.54,0.537,0.9,1.0,0.85,0.7,3.8,4.6,1.2,1.1,0.8,0.5,1.7
1951.0,-1,25.0,11.0,2009,10,27,0.0,4,0.0,1.0,0.0,3,1.0,1.0,0.0,1.0,0.0,0.0,26,81.0,81.0,35.0,6.5,13.9,0.467,2.3,5.2,0.436,4.2,8.7,0.486,0.548,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7
1946.0,-1,24.0,7.0,2009,10,27,0.0,4,0.0,1.0,0.0,3,1.0,1.0,0.0,1.0,0.0,0.0,28,54.0,43.0,31.5,5.8,12.8,0.451,0.3,1.7,0.2,5.4,11.1,0.489,0.464,1.7,2.4,0.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,2.2
1909.0,1,8.0,27.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,34,66.0,63.0,32.2,4.6,10.9,0.419,1.7,4.8,0.354,2.9,6.1,0.471,0.498,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3.0
1885.0,1,34.0,23.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,26,81.0,42.0,28.5,3.3,6.2,0.536,0.0,0.0,0.0,3.3,6.2,0.538,0.536,1.9,3.1,0.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0
1859.0,1,25.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,28,54.0,43.0,31.5,5.8,12.8,0.451,0.3,1.7,0.2,5.4,11.1,0.489,0.464,1.7,2.4,0.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,2.2
1834.0,-1,34.0,23.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,33,80.0,71.0,33.0,4.0,9.4,0.426,1.2,3.0,0.39,2.8,6.4,0.442,0.488,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.3,0.2,1.4,1.8
1810.0,-1,33.0,20.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,28,54.0,43.0,31.5,5.8,12.8,0.451,0.3,1.7,0.2,5.4,11.1,0.489,0.464,1.7,2.4,0.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,2.2
1781.0,1,25.0,7.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
1758.0,1,25.0,7.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
1735.0,1,2.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,31,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
1718.0,-1,25.0,12.0,2009,10,27,0.0,5,0.0,0.0,1.0,3,1.0,0.0,0.0,1.0,0.0,0.0,36,75.0,75.0,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4
1695.0,1,24.0,7.0,2009,10,27,1.0,3,1.0,0.0,0.0,5,0.0,0.0,0.0,1.0,0.0,0.0,28,80.0,60.0,25.9,2.8,5.9,0.468,0.8,2.3,0.355,2.0,3.6,0.54,0.537,0.9,1.0,0.85,0.7,3.8,4.6,1.2,1.1,0.8,0.5,1.7
1676.0,-1,38.0,28.0,2009,10,27,0.0,4,1.0,0.0,0.0,2,2.0,1.0,0.0,1.0,0.0,0.0,31,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7
1649.0,-1,42.0,30.0,2009,10,27,0.0,2,2.0,1.0,0.0,4,1.0,0.0,0.0,1.0,0.0,0.0,24,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7
1641.0,1,25.0,6.0,2009,10,27,0.0,4,1.0,0.0,0.0,2,2.0,1.0,0.0,1.0,0.0,0.0,36,75.0,75.0,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4
1628.0,-1,35.0,20.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,0.0,1.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
1605.0,-1,26.0,13.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,0.0,1.0,0.0,36,75.0,75.0,30.0,6.8,11.2,0.609,0.0,0.0,0.0,6.8,11.2,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4
1597.0,1,4.0,22.0,2009,10,27,0.0,3,1.0,1.0,0.0,3,1.0,1.0,0.0,0.0,1.0,0.0,33,79.0,79.0,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0
