Player,Year,Cluster,OffPlayer,DefPlayer
s_Monta_Ellis,2006,4,o_Monta_Ellis,d_Monta_Ellis
s_Francisco_Elson,2006,0,o_Francisco_Elson,d_Francisco_Elson
s_Melvin_Ely,2006,3,o_Melvin_Ely,d_Melvin_Ely
s_Maurice_Evans,2006,3,o_Maurice_Evans,d_Maurice_Evans
s_Reggie_Evans,2006,3,o_Reggie_Evans,d_Reggie_Evans
s_Daniel_Ewing,2006,4,o_Daniel_Ewing,d_Daniel_Ewing
s_Noel_Felix,2006,4,o_Noel_Felix,d_Noel_Felix
s_Raymond_Felton,2006,4,o_Raymond_Felton,d_Raymond_Felton
s_Michael_Finley,2006,3,o_Michael_Finley,d_Michael_Finley
s_Derek_Fisher,2006,0,o_Derek_Fisher,d_Derek_Fisher
s_Gerald_Fitch,2006,4,o_Gerald_Fitch,d_Gerald_Fitch
s_Marcus_Fizer,2006,2,o_Marcus_Fizer,d_Marcus_Fizer
s_Sharrod_Ford,2006,4,o_Sharrod_Ford,d_Sharrod_Ford
s_T.J._Ford,2006,1,o_T.J._Ford,d_T.J._Ford
s_Danny_Fortson,2006,2,o_Danny_Fortson,d_Danny_Fortson
s_Jeff_Foster,2006,0,o_Jeff_Foster,d_Jeff_Foster
s_Adonal_Foyle,2006,1,o_Adonal_Foyle,d_Adonal_Foyle
s_Richie_Frahm,2006,2,o_Richie_Frahm,d_Richie_Frahm
s_Steve_Francis,2006,1,o_Steve_Francis,d_Steve_Francis
s_Channing_Frye,2006,4,o_Channing_Frye,d_Channing_Frye
s_Dan_Gadzuric,2006,3,o_Dan_Gadzuric,d_Dan_Gadzuric
s_Deng_Gai,2006,4,o_Deng_Gai,d_Deng_Gai
s_Reece_Gaines,2006,2,o_Reece_Gaines,d_Reece_Gaines
s_Francisco_Garcia,2006,4,o_Francisco_Garcia,d_Francisco_Garcia
s_Kevin_Garnett,2006,1,o_Kevin_Garnett,d_Kevin_Garnett
s_Pat_Garrity,2006,3,o_Pat_Garrity,d_Pat_Garrity
s_Pau_Gasol,2006,1,o_Pau_Gasol,d_Pau_Gasol
s_Devean_George,2006,3,o_Devean_George,d_Devean_George
s_Eddie_Gill,2006,4,o_Eddie_Gill,d_Eddie_Gill
s_Manu_Ginobili,2006,0,o_Manu_Ginobili,d_Manu_Ginobili
s_Gordan_Giricek,2006,0,o_Gordan_Giricek,d_Gordan_Giricek
s_Anthony_Goldwire,2006,2,o_Anthony_Goldwire,d_Anthony_Goldwire
s_Ryan_Gomes,2006,4,o_Ryan_Gomes,d_Ryan_Gomes
s_Drew_Gooden,2006,1,o_Drew_Gooden,d_Drew_Gooden
s_Ben_Gordon,2006,0,o_Ben_Gordon,d_Ben_Gordon
s_Joey_Graham,2006,4,o_Joey_Graham,d_Joey_Graham
s_Stephen_Graham,2006,4,o_Stephen_Graham,d_Stephen_Graham
s_Danny_Granger,2006,4,o_Danny_Granger,d_Danny_Granger
s_Brian_Grant,2006,2,o_Brian_Grant,d_Brian_Grant
s_Devin_Green,2006,4,o_Devin_Green,d_Devin_Green
s_Gerald_Green,2006,4,o_Gerald_Green,d_Gerald_Green
s_Willie_Green,2006,2,o_Willie_Green,d_Willie_Green
s_Orien_Greene,2006,4,o_Orien_Greene,d_Orien_Greene
s_Adrian_Griffin,2006,0,o_Adrian_Griffin,d_Adrian_Griffin
s_Eddie_Griffin,2006,3,o_Eddie_Griffin,d_Eddie_Griffin
s_Anthony_Grundy,2006,4,o_Anthony_Grundy,d_Anthony_Grundy
s_Richard_Hamilton,2006,1,o_Richard_Hamilton,d_Richard_Hamilton
s_Zendon_Hamilton,2006,2,o_Zendon_Hamilton,d_Zendon_Hamilton
s_Anfernee_Hardaway,2006,2,o_Anfernee_Hardaway,d_Anfernee_Hardaway
s_Matt_Harpring,2006,0,o_Matt_Harpring,d_Matt_Harpring
s_Al_Harrington,2006,1,o_Al_Harrington,d_Al_Harrington
s_Othella_Harrington,2006,3,o_Othella_Harrington,d_Othella_Harrington
s_Devin_Harris,2006,3,o_Devin_Harris,d_Devin_Harris
s_David_Harrison,2006,3,o_David_Harrison,d_David_Harrison
s_Jason_Hart,2006,3,o_Jason_Hart,d_Jason_Hart
s_Udonis_Haslem,2006,1,o_Udonis_Haslem,d_Udonis_Haslem
s_Trenton_Hassell,2006,1,o_Trenton_Hassell,d_Trenton_Hassell
s_Chuck_Hayes,2006,4,o_Chuck_Hayes,d_Chuck_Hayes
s_Jarvis_Hayes,2006,2,o_Jarvis_Hayes,d_Jarvis_Hayes
s_Brendan_Haywood,2006,1,o_Brendan_Haywood,d_Brendan_Haywood
s_Luther_Head,2006,4,o_Luther_Head,d_Luther_Head
s_Alan_Henderson,2006,4,o_Alan_Henderson,d_Alan_Henderson
s_Nene_Hilario,2006,2,o_Nene_Hilario,d_Nene_Hilario
s_Grant_Hill,2006,2,o_Grant_Hill,d_Grant_Hill
s_Kirk_Hinrich,2006,1,o_Kirk_Hinrich,d_Kirk_Hinrich
s_Julius_Hodge,2006,4,o_Julius_Hodge,d_Julius_Hodge
s_Randy_Holcomb,2006,4,o_Randy_Holcomb,d_Randy_Holcomb
s_Robert_Horry,2006,3,o_Robert_Horry,d_Robert_Horry
s_Eddie_House,2006,3,o_Eddie_House,d_Eddie_House
s_Dwight_Howard,2006,1,o_Dwight_Howard,d_Dwight_Howard
s_Josh_Howard,2006,0,o_Josh_Howard,d_Josh_Howard
s_Juwan_Howard,2006,1,o_Juwan_Howard,d_Juwan_Howard
s_Troy_Hudson,2006,4,o_Troy_Hudson,d_Troy_Hudson
