Player,Year,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
s_Raja_Bell,2006,SG,29,79.0,79.0,37.5,5.4,11.8,0.457,2.5,5.6,0.442,2.9,6.1,0.471,0.563,1.5,1.8,0.788,0.6,2.6,3.2,2.6,1.0,0.3,1.1,3.1
s_Jonathan_Bender,2006,SF,25,2.0,0.0,10.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0
s_Mike_Bibby,2006,PG,27,82.0,82.0,38.6,7.3,16.9,0.432,2.3,6.1,0.386,4.9,10.8,0.458,0.501,4.2,4.9,0.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1
s_Andris_Biedrins,2006,C,19,68.0,2.0,14.7,1.7,2.7,0.638,0.0,0.0,,1.7,2.7,0.638,0.638,0.3,1.1,0.306,1.8,2.3,4.2,0.4,0.3,0.7,0.5,2.8
s_Chauncey_Billups,2006,PG,29,81.0,81.0,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0
s_Steve_Blake,2006,PG,25,68.0,57.0,26.2,3.0,6.9,0.438,1.1,2.7,0.413,1.9,4.2,0.455,0.519,1.1,1.3,0.791,0.4,1.8,2.1,4.5,0.6,0.1,1.2,1.6
s_Andray_Blatche,2006,PF,19,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.41,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.3,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Mark_Blount,2006,C,30,81.0,55.0,27.7,4.6,9.1,0.508,0.0,0.0,,4.6,9.1,0.508,0.508,2.1,2.7,0.757,1.2,3.3,4.5,1.2,0.5,0.9,2.4,3.1
s_Keith_Bogans,2006,SG-SF,25,72.0,31.0,26.6,3.0,7.6,0.395,0.9,2.8,0.325,2.1,4.8,0.436,0.455,1.8,2.6,0.683,0.8,2.8,3.5,1.8,1.0,0.1,1.3,2.3
s_Andrew_Bogut,2006,PF,21,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.533,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,7.0,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Matt_Bonner,2006,PF,25,78.0,6.0,21.9,2.7,6.0,0.448,1.3,3.1,0.42,1.4,2.9,0.478,0.557,0.8,1.0,0.829,1.1,2.5,3.6,0.7,0.6,0.4,0.4,2.8
s_Calvin_Booth,2006,C,29,33.0,2.0,7.6,0.6,1.4,0.426,0.0,0.1,0.5,0.6,1.4,0.422,0.436,0.2,0.3,0.556,0.6,1.0,1.6,0.4,0.3,0.3,0.2,1.3
s_Carlos_Boozer,2006,PF,24,33.0,19.0,31.1,6.6,12.1,0.549,0.0,0.0,,6.6,12.1,0.549,0.549,3.0,4.2,0.723,2.2,6.4,8.6,2.7,0.9,0.2,2.1,3.2
s_Chris_Bosh,2006,C,21,70.0,70.0,39.3,7.8,15.5,0.505,0.0,0.2,0.0,7.8,15.3,0.511,0.505,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0
s_Bruce_Bowen,2006,SF,34,82.0,82.0,33.6,2.8,6.5,0.433,1.3,3.0,0.424,1.6,3.5,0.44,0.53,0.6,1.0,0.607,0.4,3.5,3.9,1.5,1.0,0.4,0.8,2.3
s_Ryan_Bowen,2006,SF,30,68.0,19.0,9.6,0.5,1.8,0.298,0.0,0.3,0.136,0.5,1.5,0.333,0.31,0.2,0.2,0.786,0.5,0.8,1.3,0.4,0.3,0.1,0.2,1.3
s_Earl_Boykins,2006,PG,29,60.0,0.0,25.7,4.5,11.0,0.41,1.0,3.0,0.346,3.5,8.0,0.434,0.457,2.5,2.9,0.874,0.4,1.0,1.4,3.8,0.8,0.1,1.4,1.2
s_Michael_Bradley,2006,PF,26,46.0,1.0,8.0,0.7,1.7,0.405,0.0,0.1,0.2,0.7,1.6,0.419,0.411,0.0,0.1,0.667,0.9,1.5,2.3,0.4,0.1,0.2,0.4,0.8
s_Elton_Brand,2006,PF,26,79.0,79.0,39.2,9.6,18.2,0.527,0.0,0.0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9
s_Primoz_Brezec,2006,C,26,79.0,79.0,27.4,5.2,10.0,0.517,0.0,0.0,0.0,5.2,10.0,0.518,0.517,2.1,2.8,0.732,2.3,3.3,5.6,0.6,0.2,0.4,1.1,2.9
s_Devin_Brown,2006,SG,27,81.0,14.0,21.1,2.6,6.5,0.393,0.5,1.5,0.331,2.1,5.0,0.411,0.43,2.0,2.6,0.745,0.9,1.7,2.6,1.3,0.5,0.2,1.2,1.9
s_Kwame_Brown,2006,C,23,72.0,49.0,27.5,2.8,5.4,0.526,0.0,0.0,0.0,2.8,5.4,0.527,0.526,1.8,3.3,0.545,2.5,4.0,6.6,1.0,0.4,0.6,1.4,2.7
s_P.J._Brown,2006,C,36,75.0,73.0,31.7,3.6,7.8,0.461,0.0,0.0,,3.6,7.8,0.461,0.461,1.9,2.2,0.827,2.4,4.9,7.3,1.2,0.6,0.7,1.2,2.9
s_Rick_Brunson,2006,PG,33,27.0,0.0,9.1,0.8,2.0,0.389,0.2,0.5,0.385,0.6,1.5,0.39,0.435,0.3,0.4,0.583,0.0,0.8,0.8,1.3,0.3,0.0,0.8,0.8
s_Kobe_Bryant,2006,SG,27,80.0,80.0,41.0,12.2,27.2,0.45,2.3,6.5,0.347,10.0,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9
s_Greg_Buckner,2006,SG,29,73.0,27.0,24.1,2.5,5.7,0.434,1.2,3.3,0.354,1.3,2.4,0.546,0.537,0.6,0.8,0.782,0.4,2.4,2.9,1.7,1.2,0.3,0.7,2.5
s_Pat_Burke,2006,C,32,42.0,0.0,8.2,1.5,3.0,0.496,0.0,0.2,0.286,1.5,2.9,0.508,0.504,0.3,0.5,0.619,0.5,1.2,1.7,0.4,0.1,0.3,0.8,1.5
s_Antonio_Burks,2006,PG,25,57.0,1.0,10.0,0.9,2.5,0.354,0.0,0.1,0.167,0.9,2.4,0.362,0.358,0.2,0.4,0.435,0.1,0.6,0.6,1.3,0.4,0.0,0.6,0.8
s_Kevin_Burleson,2006,PG,26,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.307,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,0.7,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Caron_Butler,2006,SF,25,75.0,54.0,36.1,6.6,14.5,0.455,0.5,1.6,0.342,6.0,12.9,0.469,0.474,3.9,4.4,0.87,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2
s_Jackie_Butler,2006,C,20,55.0,0.0,13.5,2.1,3.9,0.544,0.0,0.0,,2.1,3.9,0.544,0.544,1.1,1.4,0.753,1.2,2.1,3.3,0.5,0.3,0.6,1.1,2.3
s_Rasual_Butler,2006,SF,26,79.0,20.0,23.7,3.3,8.0,0.406,1.2,3.1,0.38,2.1,4.9,0.422,0.479,1.0,1.4,0.693,0.6,2.3,2.9,0.5,0.4,0.6,0.8,1.8
s_Andrew_Bynum,2006,C,18,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.402,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.7,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Will_Bynum,2006,PG,23,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.423,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,0.8,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Zarko_Cabarkapa,2006,PF,24,61.0,0.0,8.3,1.1,2.9,0.385,0.1,0.3,0.25,1.0,2.5,0.403,0.399,1.0,1.4,0.714,0.6,1.2,1.8,0.3,0.2,0.1,0.6,1.4
